time,Text,humidity,WindSpeed,cloudinessIndex,project:schedules:entries
1546300800,7.86,0.88,2.94,1,0
1546304400,8.67,0.84,2.38,1,0
1546308000,7.82,0.87,2.49,1,0
1546311600,7.8,0.87,3,1,0
1546315200,7.77,0.88,1.97,1,0
1546318800,7.55,0.88,3.02,1,0
1546322400,7.35,0.84,2.41,1,0
1546326000,7.15,0.84,2.72,1,0
1546329600,6.87,0.85,2.61,1,0
1546333200,6.94,0.84,1.78,1,0
1546336800,7.28,0.83,2.22,1,0
1546340400,7.52,0.84,2.04,1,0
1546344000,8.88,0.78,1.51,1,0
1546347600,8.88,0.78,2.5,1,0
1546351200,8.83,0.77,2.97,1,0
1546354800,8.81,0.77,3.45,1,0
1546358400,8.81,0.77,2.88,1,0
1546362000,8.82,0.73,2.59,1,0
1546365600,8.67,0.78,2.43,1,0
1546369200,8.93,0.77,2.6,1,0
1546372800,9.08,0.76,2.51,1,0
1546376400,9.1,0.76,2.51,1,0
1546380000,8.88,0.73,2.07,1,0
1546383600,7.96,0.77,1.26,1,0
1546387200,7.81,0.82,1.52,1,0
1546390800,7.95,0.82,1.42,1,0
1546394400,8.14,0.82,1,1,0
1546398000,7.49,0.87,1.52,1,0
1546401600,7.53,0.92,1.65,1,0
1546405200,8.27,0.89,1.8,1,0
1546408800,8.16,0.93,2.88,1,0
1546412400,8.79,0.89,2.84,1,0
1546416000,7.7,0.83,5,1,0
1546419600,7.52,0.83,5.02,1,0
1546423200,7.57,0.73,6.46,1,0
1546426800,7.69,0.72,5.67,1,0
1546430400,7.97,0.58,6.23,0.96,18
1546434000,7.83,0.62,5.21,0.96,0
1546437600,6.83,0.63,5.6,1,0
1546441200,6.82,0.63,5.67,1,0
1546444800,5.76,0.63,5.05,1,0
1546448400,4.68,0.67,4.18,0.79,0
1546452000,4.45,0.68,2.08,0.28,6
1546455600,3.48,0.72,1.99,0.19,0
1546459200,3.51,0.72,1.92,0.05,0
1546462800,3.36,0.73,2.52,0.07,0
1546466400,0.86,0.82,1.62,0.08,0
1546470000,0.07,0.86,2.21,0.09,0
1546473600,0.14,0.86,2.26,0.09,0
1546477200,-0.06,0.88,2.21,0.07,0
1546480800,0.67,0.88,2.55,0.02,0
1546484400,-0.2,0.82,2.41,0,0
1546488000,0.58,0.87,2.41,0.01,0
1546491600,1.25,0.83,2.35,0.04,0
1546495200,0.44,0.88,1.96,0.09,0
1546498800,0.27,0.95,1.89,0.21,0
1546502400,0.41,0.95,2.49,0.36,0
1546506000,1.43,0.95,2.99,0.45,0
1546509600,2.72,0.88,4.41,0.43,0
1546513200,4.81,0.77,3.93,0.35,0
1546516800,5.95,0.7,4.76,0.26,49
1546520400,6.12,0.65,5.35,0.19,0
1546524000,6.08,0.6,7.58,0.19,0
1546527600,5.82,0.62,6.57,0,0
1546531200,5.57,0.63,5.04,0.19,0
1546534800,3.5,0.72,3.98,0.19,0
1546538400,3.26,0.74,3.35,0.05,21
1546542000,2.4,0.74,2.93,0.14,0
1546545600,2.44,0.74,2.53,0.25,0
1546549200,1.46,0.78,2.88,0.31,0
1546552800,1.47,0.78,3.31,0.29,0
1546556400,1.5,0.77,2.6,0.22,0
1546560000,0.77,0.82,1.78,0.16,0
1546563600,-1.68,0.87,2.18,0.1,0
1546567200,-0.18,0.88,2.16,0.04,0
1546570800,-0.03,0.87,2.23,0,0
1546574400,-1.1,0.88,2.21,0,0
1546578000,0.54,0.88,2.63,0,0
1546581600,0.54,0.88,2.53,0.03,0
1546585200,0.55,0.95,2.3,0.17,0
1546588800,0.51,0.95,2.56,0.37,0
1546592400,0.7,0.95,2.99,0.44,0
1546596000,1.76,0.89,3.16,0.44,0
1546599600,2.15,0.87,4.4,0.75,0
1546603200,2.36,0.91,4.16,1,28
1546606800,4.04,0.81,3.55,0.75,0
1546610400,5.69,0.72,5.36,0.19,0
1546614000,5.65,0.68,4.43,0.97,0
1546617600,4.59,0.73,3.01,0.99,0
1546621200,4.32,0.75,2.36,0.97,0
1546624800,2.44,0.84,2.96,0.91,8
1546628400,2.45,0.89,2.55,0.76,0
1546632000,2.35,0.89,2.45,0.56,0
1546635600,0.73,0.94,2.11,0.41,0
1546639200,0.53,0.89,1.48,0.35,0
1546642800,0.49,0.89,1.61,0.35,0
1546646400,0.61,0.94,2.03,0.33,0
1546650000,-0.41,0.93,0.93,0.32,0
1546653600,-3.14,1,1.33,0.32,0
1546657200,-2.39,0.94,1.32,0.32,0
1546660800,-3.24,1,1.01,0.35,0
1546664400,-3.24,1,1.02,0.38,0
1546668000,-3.22,1,1.54,0.41,0
1546671600,-2.43,0.94,1.46,0.42,0
1546675200,-3.55,1,1.48,0.96,0
1546678800,-1.54,1,0,1,39
1546682400,-0.29,1,0,1,0
1546686000,1.74,0.95,0.44,1,0
1546689600,3.71,0.88,0.72,1,0
1546693200,3.73,0.83,2.63,1,0
1546696800,3.9,0.82,2.43,1,0
1546700400,3.83,0.82,1.9,1,0
1546704000,2.92,0.82,2.92,1,0
1546707600,2.85,0.82,2.92,1,0
1546711200,2.87,0.81,3.08,1,0
1546714800,2.74,0.82,3.07,1,0
1546718400,2.81,0.82,1.49,1,0
1546722000,3.72,0.77,1.99,1,0
1546725600,2.85,0.81,2.33,1,0
1546729200,3.64,0.77,2.05,1,0
1546732800,3.99,0.76,2.04,1,0
1546736400,3.99,0.76,1.36,1,0
1546740000,3.88,0.76,1.93,1,0
1546743600,3.73,0.76,2.74,1,0
1546747200,3.04,0.8,2.4,1,0
1546750800,2.92,0.81,2.67,1,0
1546754400,2.75,0.83,2.68,1,0
1546758000,2.68,0.82,1.44,1,0
1546761600,2.64,0.83,1.45,1,0
1546765200,2.64,0.83,0.25,1,89
1546768800,2.81,0.82,1.46,1,0
1546772400,3.65,0.83,1.59,1,0
1546776000,3.89,0.83,1.51,1,0
1546779600,4.71,0.83,1.49,1,0
1546783200,4.72,0.83,2.4,1,0
1546786800,4.7,0.82,1.89,1,0
1546790400,4.68,0.82,1.46,1,0
1546794000,4.65,0.83,1.92,1,0
1546797600,4.63,0.83,1.74,1,0
1546801200,4.78,0.83,1.8,1,0
1546804800,4.95,0.83,2.29,1,0
1546808400,4.98,0.88,2.14,1,0
1546812000,4.92,0.88,2.09,1,0
1546815600,4.78,0.88,1.46,1,0
1546819200,5.07,0.92,1.03,1,0
1546822800,5.74,0.93,1.34,1,0
1546826400,5.91,0.93,1.96,1,0
1546830000,5.89,0.93,2,1,0
1546833600,5.86,0.93,2.36,1,0
1546837200,5.03,0.93,1.67,1,0
1546840800,5.74,0.94,1.96,1,0
1546844400,5.78,0.94,2.08,1,0
1546848000,5.84,0.95,2.03,1,30
1546851600,6.07,0.99,1.61,1,50
1546855200,6.82,0.94,1.53,1,0
1546858800,6.93,0.94,2.46,1,98
1546862400,7.62,0.9,1.43,1,42
1546866000,7.68,0.89,1.12,1,36
1546869600,8.57,0.83,0.97,1,0
1546873200,8.9,0.82,1.36,1,120
1546876800,8.89,0.81,1.49,1,14
1546880400,8.69,0.79,2.13,1,40
1546884000,7.9,0.84,2.23,1,120
1546887600,7.97,0.83,2.32,1,64
1546891200,8,0.83,2.73,1,64
1546894800,8.01,0.88,2.63,1,64
1546898400,8.05,0.88,2.14,1,64
1546902000,8.04,0.87,2.73,1,0
1546905600,7.78,0.86,3.15,1,0
1546909200,6.91,0.87,2.71,1,0
1546912800,7.53,0.83,2.75,0.9,0
1546916400,7.69,0.82,3.71,0.96,0
1546920000,7.87,0.81,4.21,1,0
1546923600,8.68,0.78,3.79,1,0
1546927200,8.9,0.82,3.71,1,0
1546930800,8.75,0.88,4.68,0.79,0
1546934400,8.9,0.93,4.22,1,0
1546938000,8.94,0.93,3.77,0.96,60
1546941600,9.77,0.93,4.94,1,0
1546945200,10.8,0.88,4.94,1,50
1546948800,10.76,0.94,4.05,0.75,90
1546952400,11.92,0.87,3.6,0.79,0
1546956000,11.85,0.76,4.36,0.75,0
1546959600,12.5,0.68,3.55,0.75,96
1546963200,10.67,0.72,4.07,1,0
1546966800,8.68,0.76,2.65,1,0
1546970400,6.67,0.82,2.08,0.78,42
1546974000,5.83,0.87,1.97,1,56
1546977600,6.6,0.87,1.84,1,48
1546981200,4.84,0.87,1.46,0.79,0
1546984800,5.5,0.88,1.56,0.79,0
1546988400,4.1,0.92,1.49,1,0
1546992000,3.96,0.93,1.91,0.53,0
1546995600,2.3,0.98,1.83,1,0
1546999200,3.14,0.98,1.49,1,0
1547002800,4.86,0.93,2.11,1,0
1547006400,5.82,0.87,2.54,1,0
1547010000,5.9,0.82,2.02,1,0
1547013600,5.04,0.92,1.42,1,0
1547017200,4.99,0.92,1.49,1,0
1547020800,4.82,0.87,2.37,1,60
1547024400,4.52,0.88,2.35,0.79,0
1547028000,6.68,0.75,3.42,0.28,0
1547031600,8.17,0.6,4.68,0.99,116
1547035200,8.03,0.61,4.26,0.19,0
1547038800,8.23,0.6,4.9,1,80
1547042400,8.35,0.59,4.79,1,0
1547046000,6.88,0.6,4.97,0.96,0
